# Distance ahead of source z (m), Driving W1perp (Ohm/m/s)
-9.461323755890760367e+03,-8.715968953216841817e+07
-9.034660211810516557e+03,-8.776711640566051006e+07
-8.627237292461450124e+03,-8.837410495237411559e+07
-8.238187331399602044e+03,-8.897697519143268466e+07
-7.866681790071574142e+03,-8.958494001541779935e+07
-7.511929493320968504e+03,-9.020916167844398320e+07
-7.173174944465612498e+03,-9.084708512071855366e+07
-6.849696716357439982e+03,-9.150967661935019493e+07
-6.540805914998245498e+03,-9.221045745420928299e+07
-6.245844712439617979e+03,-9.294756240000447631e+07
-5.964184945842459456e+03,-9.373320941013027728e+07
-5.695226779712818825e+03,-9.458266511201192439e+07
-5.438397428464790210e+03,-9.549383595904877782e+07
-5.193149936590211837e+03,-9.647920112804678082e+07
-4.958962013837211998e+03,-9.755472951767462492e+07
-4.735334922917111726e+03,-9.871685705698500574e+07
-4.521792417370702424e+03,-9.997711474098102748e+07
-4.317879727332021503e+03,-1.013510089275179356e+08
-4.123162591029748000e+03,-1.028322782009201944e+08
-3.937226329963475109e+03,-1.044303225177602917e+08
-3.759674965785467521e+03,-1.061593522147698402e+08
-3.590130377007068546e+03,-1.080094580042553097e+08
-3.428231493733967000e+03,-1.099872659763177633e+08
-3.273633528715241027e+03,-1.121053477693020403e+08
-3.126007243068703701e+03,-1.143497474691651464e+08
-2.985038245118729265e+03,-1.167244423446511775e+08
-2.850426320853431662e+03,-1.192406058361809254e+08
-2.721884794575179512e+03,-1.218806659696631879e+08
-2.599139918382933047e+03,-1.246466030130581856e+08
-2.481930289186252594e+03,-1.275490976350856721e+08
-2.370006292009325534e+03,-1.305679021839539260e+08
-2.263129568399529489e+03,-1.337041390428448170e+08
-2.161072508808376369e+03,-1.369692174915542901e+08
-2.063617767863856443e+03,-1.403413575370326638e+08
-1.970557801501796348e+03,-1.438220286718005240e+08
-1.881694424970555474e+03,-1.474244016523142457e+08
-1.796838390767719375e+03,-1.511262477955703139e+08
-1.715808985610002992e+03,-1.549301363183740675e+08
-1.638433645577984635e+03,-1.588516631564937830e+08
-1.564547588616095709e+03,-1.628687562629151046e+08
-1.493993463605256238e+03,-1.669853524104258120e+08
-1.426621015260735476e+03,-1.712196089197015464e+08
-1.362286764141646927e+03,-1.755496324322279990e+08
-1.300853701090570667e+03,-1.799805333629034758e+08
-1.242190995452616107e+03,-1.845329319605041444e+08
-1.186173716452476810e+03,-1.891846901428683400e+08
-1.132682567136153693e+03,-1.939417068991537392e+08
-1.081603630310709377e+03,-1.988267851313526332e+08
-1.032828125941027565e+03,-2.038171237398796678e+08
-9.862521794868783900e+02,-2.089190887765019238e+08
-9.417766006869518378e+02,-2.141573828426346183e+08
-8.993066723187613434e+02,-2.195082074599459171e+08
-8.587519484845162197e+02,-2.249782450556340218e+08
-8.200260619934131228e+02,-2.305939829483501315e+08
-7.830465404301182843e+02,-2.363303011516172290e+08
-7.477346305177580916e+02,-2.421943390876457095e+08
-7.140151304013388653e+02,-2.482142197569375336e+08
